iter	Logloss
0	0.6891497991
1	0.6850678472
2	0.6812844569
3	0.6783065766
4	0.6748853246
5	0.6720607455
6	0.6696649497
7	0.6667767219
8	0.6641636912
9	0.6618483674
10	0.6598477116
11	0.6581927015
12	0.6561724591
13	0.6543991909
14	0.652658549
15	0.6512488218
16	0.6496772841
17	0.6484839716
18	0.6470693748
19	0.6457407899
20	0.6448448438
21	0.643915757
22	0.6428945174
23	0.6418741802
24	0.6410389804
25	0.6403831176
26	0.6396526793
27	0.6389279
28	0.6383788921
29	0.6378449484
30	0.6372414471
31	0.6364895204
32	0.6358371379
33	0.6351564008
34	0.6345746776
35	0.6340459745
36	0.633596573
37	0.6331758133
38	0.6326968048
39	0.63243681
40	0.6319584931
41	0.6316554253
42	0.6312379008
43	0.6308771965
44	0.6305463049
45	0.6301849139
46	0.6298878017
47	0.6295268031
48	0.6294993735
49	0.6292653665
50	0.6288744879
51	0.6286090777
52	0.6283478263
53	0.6280151798
54	0.6277481531
55	0.6276149516
56	0.6273811282
57	0.6271831306
58	0.6269164759
59	0.6266581705
60	0.6264004367
61	0.6262010579
62	0.6260016226
63	0.6258230315
64	0.6255598586
65	0.6253388023
66	0.6252094388
67	0.6250670968
68	0.6249014195
69	0.624693134
70	0.6245780675
71	0.624472758
72	0.624286473
73	0.6241619556
74	0.6240300492
75	0.624030048
76	0.6240300468
77	0.6239160404
78	0.6238294846
79	0.6236039327
80	0.6234581498
81	0.6233220261
82	0.6231963745
83	0.6230460068
84	0.6228896164
85	0.6227702216
86	0.6225406205
87	0.6224058975
88	0.6223312532
89	0.622326375
90	0.622156214
91	0.6220056355
92	0.6218857477
93	0.6217846772
94	0.6216313436
95	0.6214727158
96	0.6214632464
97	0.6214628505
98	0.6213979434
99	0.6213582554
100	0.6212542612
101	0.6211959028
102	0.6210738525
103	0.6210737978
104	0.620944896
105	0.6207721894
106	0.6206002863
107	0.6204790309
108	0.6203367382
109	0.6201827307
110	0.6200339169
111	0.6200339169
112	0.6199703866
113	0.619895733
114	0.6198059757
115	0.61972368
116	0.6196717129
117	0.6196663702
118	0.6195833207
119	0.6194982912
120	0.6194182694
121	0.6193100222
122	0.6192080438
123	0.6190722915
124	0.6190403064
125	0.6190302327
126	0.6189643561
127	0.6188752542
128	0.6187964658
129	0.6187061073
130	0.618702099
131	0.6186094179
132	0.6185481205
133	0.6185481201
134	0.6184501709
135	0.6183061336
136	0.6181923422
137	0.6181524191
138	0.6180702216
139	0.6180140436
140	0.6179734755
141	0.6179697217
142	0.6178775688
143	0.6177779282
144	0.6177779282
145	0.6177218801
146	0.6176230119
147	0.6175740011
148	0.6174649818
149	0.6173727122
150	0.6173727114
151	0.617316678
152	0.6172523238
153	0.6171332752
154	0.6170637403
155	0.6170127997
156	0.6169909256
157	0.6168332979
158	0.6168149272
159	0.616717734
160	0.6165745471
161	0.6164659068
162	0.6164393982
163	0.6163762957
164	0.6163762954
165	0.6163261233
166	0.6162602556
167	0.6161573757
168	0.6160987307
169	0.616014341
170	0.6159443755
171	0.6159006537
172	0.6158638827
173	0.6158101315
174	0.6157351701
175	0.6156979437
176	0.6156161115
177	0.6155739298
178	0.6154501783
179	0.6154092839
180	0.6153835355
181	0.6153499359
182	0.6152776208
183	0.6152469159
184	0.6151099641
185	0.6150823617
186	0.6149561266
187	0.6148627952
188	0.6147687564
189	0.6147127856
190	0.61468582
191	0.6146858192
192	0.6146434147
193	0.614603067
194	0.6145382758
195	0.6144820992
196	0.6144385779
197	0.6143859645
198	0.6143083277
199	0.6142687574
200	0.6141581689
201	0.6140861005
202	0.6140564134
203	0.6139839601
204	0.6139179852
205	0.6138352009
206	0.6137830155
207	0.6137065617
208	0.6135923169
209	0.6134976138
210	0.6134058097
211	0.6133197941
212	0.6133167904
213	0.6131760922
214	0.6130521247
215	0.6129876448
216	0.612897996
217	0.6128702097
218	0.6127713258
219	0.6127031952
220	0.6126286535
221	0.6125268667
222	0.6124256816
223	0.612369767
224	0.6122853191
225	0.6122159775
226	0.6120639013
227	0.611976945
228	0.6118941208
229	0.6117903193
230	0.6116979769
231	0.6116696094
232	0.6115630316
233	0.6114653449
234	0.6113996436
235	0.6113603516
236	0.6112831378
237	0.6111907438
238	0.6111174362
239	0.6110497042
240	0.6109583394
241	0.6109113
242	0.6108498652
243	0.6107438759
244	0.6105657772
245	0.6104225824
246	0.6103139588
247	0.6102340888
248	0.6101525598
249	0.6100568696
250	0.6099502885
251	0.6098546008
252	0.6097451726
253	0.6096048931
254	0.6095588321
255	0.6094706326
256	0.6094037206
257	0.6093752533
258	0.6092588227
259	0.6091637701
260	0.6090855166
261	0.6090212888
262	0.6089132961
263	0.6088221607
264	0.6087271999
265	0.6086907869
266	0.608599662
267	0.608505996
268	0.6083592665
269	0.6082859103
270	0.6082362651
271	0.6081156723
272	0.6080008382
273	0.6079512199
274	0.6078526737
275	0.6076688661
276	0.6075544467
277	0.607490345
278	0.6073638143
279	0.6073040886
280	0.6072387858
281	0.6071438245
282	0.6070893484
283	0.6070602602
284	0.6069527397
285	0.6068905223
286	0.6068388695
287	0.6068006081
288	0.6067375344
289	0.6066684392
290	0.6065648469
291	0.6064852901
292	0.6064161067
293	0.6063870525
294	0.6063108029
295	0.606231733
296	0.6061768529
297	0.6060940152
298	0.606061954
299	0.6059953198
300	0.6059283264
301	0.6058277315
302	0.6057803989
303	0.6056901435
304	0.6056658767
305	0.6056181183
306	0.605530047
307	0.6054628049
308	0.6054029881
309	0.6053311424
310	0.6052545418
311	0.6052408107
312	0.6051886454
313	0.605092297
314	0.6049804723
315	0.6049380326
316	0.6048795705
317	0.6047401414
318	0.6046449319
319	0.6045927407
320	0.6044764738
321	0.60443189
322	0.6043916242
323	0.6043309972
324	0.6042541222
325	0.6041731422
326	0.604104662
327	0.6040312533
328	0.6039826349
329	0.6039017709
330	0.6038386911
331	0.6037658023
332	0.6036739646
333	0.6034821837
334	0.6034223487
335	0.6033966864
336	0.6033007467
337	0.6031658904
338	0.6031296876
339	0.6031037001
340	0.6030090239
341	0.6029512561
342	0.6028488911
343	0.6027958467
344	0.6027589171
345	0.6026598221
346	0.6026321678
347	0.602587154
348	0.6025323885
349	0.6024844932
350	0.6024654514
351	0.602393361
352	0.6023011744
353	0.6022391249
354	0.6021904129
355	0.6021261157
356	0.6020643236
357	0.602040632
358	0.6019601316
359	0.6018601935
360	0.60182765
