iter	Passed	Remaining
0	22	44139
1	41	41869
2	56	37401
3	72	36387
4	88	35499
5	104	34713
6	120	34293
7	137	34118
8	151	33610
9	164	32833
10	180	32615
11	194	32188
12	209	32023
13	222	31514
14	237	31422
15	252	31255
16	267	31208
17	282	31127
18	298	31129
19	314	31129
20	329	31051
21	343	30894
22	357	30741
23	371	30624
24	386	30537
25	404	30689
26	420	30723
27	436	30773
28	451	30704
29	466	30628
30	480	30525
31	494	30388
32	508	30308
33	523	30295
34	541	30382
35	561	30632
36	578	30702
37	598	30917
38	613	30832
39	628	30772
40	643	30735
41	659	30732
42	675	30720
43	690	30691
44	704	30589
45	720	30584
46	736	30612
47	751	30554
48	760	30277
49	777	30338
50	793	30320
51	812	30433
52	829	30464
53	846	30510
54	863	30521
55	880	30555
56	896	30555
57	912	30555
58	928	30542
59	945	30569
60	963	30627
61	979	30632
62	994	30580
63	1008	30508
64	1022	30442
65	1037	30405
66	1052	30366
67	1068	30344
68	1083	30325
69	1098	30283
70	1114	30292
71	1135	30403
72	1150	30382
73	1171	30489
74	1187	30482
75	1194	30251
76	1202	30025
77	1218	30012
78	1232	29981
79	1246	29906
80	1259	29850
81	1274	29816
82	1289	29790
83	1304	29761
84	1318	29702
85	1333	29677
86	1348	29661
87	1362	29611
88	1377	29585
89	1386	29433
90	1402	29418
91	1416	29373
92	1435	29436
93	1449	29398
94	1468	29441
95	1483	29427
96	1493	29296
97	1503	29188
98	1518	29161
99	1534	29148
100	1554	29232
101	1569	29206
102	1584	29174
103	1595	29087
104	1611	29084
105	1625	29052
106	1639	29008
107	1654	28976
108	1673	29027
109	1688	29007
110	1726	29377
111	1733	29223
112	1748	29190
113	1762	29161
114	1776	29123
115	1790	29077
116	1805	29054
117	1815	28956
118	1830	28932
119	1845	28912
120	1860	28893
121	1874	28853
122	1888	28823
123	1904	28820
124	1921	28825
125	1934	28776
126	1948	28738
127	1964	28724
128	1982	28757
129	1997	28730
130	2009	28673
131	2024	28647
132	2041	28656
133	2050	28560
134	2066	28548
135	2080	28520
136	2096	28504
137	2111	28488
138	2126	28465
139	2143	28472
140	2157	28446
141	2168	28369
142	2183	28352
143	2199	28348
144	2208	28248
145	2225	28266
146	2239	28227
147	2254	28207
148	2267	28172
149	2282	28153
150	2291	28064
151	2307	28053
152	2323	28051
153	2339	28041
154	2354	28027
155	2368	28001
156	2387	28022
157	2408	28078
158	2424	28066
159	2438	28045
160	2453	28021
161	2468	28007
162	2484	27996
163	2499	27987
164	2507	27891
165	2524	27895
166	2540	27883
167	2555	27869
168	2571	27859
169	2586	27844
170	2601	27821
171	2616	27811
172	2632	27798
173	2647	27780
174	2662	27760
175	2676	27736
176	2693	27741
177	2708	27722
178	2725	27723
179	2739	27700
180	2755	27688
181	2769	27668
182	2786	27663
183	2804	27675
184	2819	27657
185	2834	27645
186	2848	27617
187	2864	27613
188	2879	27589
189	2897	27598
190	2909	27555
191	2917	27471
192	2932	27457
193	2946	27433
194	2960	27407
195	2974	27379
196	2990	27369
197	3014	27438
198	3029	27415
199	3044	27398
200	3058	27371
201	3073	27354
202	3087	27328
203	3103	27318
204	3118	27308
205	3134	27293
206	3148	27268
207	3162	27250
208	3177	27231
209	3193	27217
210	3208	27202
211	3223	27191
212	3232	27122
213	3246	27097
214	3260	27073
215	3275	27049
216	3290	27037
217	3307	27035
218	3322	27020
219	3336	26999
220	3351	26977
221	3368	26979
222	3383	26961
223	3400	26961
224	3417	26956
225	3432	26940
226	3446	26922
227	3461	26903
228	3476	26886
229	3491	26866
230	3505	26847
231	3521	26834
232	3539	26843
233	3554	26823
234	3569	26806
235	3587	26813
236	3602	26796
237	3617	26778
238	3632	26764
239	3647	26748
240	3662	26735
241	3678	26720
242	3692	26701
243	3706	26677
244	3723	26672
245	3741	26677
246	3757	26668
247	3774	26662
248	3788	26644
249	3802	26620
250	3818	26604
251	3832	26584
252	3848	26574
253	3863	26560
254	3879	26546
255	3893	26524
256	3908	26506
257	3923	26491
258	3939	26484
259	3957	26482
260	3972	26467
261	3989	26467
262	4006	26463
263	4022	26447
264	4037	26434
265	4052	26416
266	4067	26398
267	4081	26378
268	4096	26357
269	4113	26358
270	4128	26342
271	4144	26330
272	4160	26319
273	4176	26305
274	4191	26294
275	4206	26273
276	4221	26256
277	4236	26241
278	4251	26222
279	4265	26203
280	4279	26181
281	4294	26160
282	4308	26140
283	4323	26123
284	4339	26111
285	4356	26108
286	4370	26087
287	4385	26068
288	4399	26047
289	4414	26029
290	4430	26018
291	4445	26004
292	4460	25984
293	4474	25966
294	4489	25947
295	4503	25926
296	4518	25907
297	4533	25894
298	4549	25882
299	4566	25876
300	4581	25862
301	4596	25842
302	4611	25830
303	4628	25820
304	4647	25830
305	4668	25845
306	4685	25839
307	4700	25824
308	4716	25813
309	4732	25800
310	4748	25785
311	4763	25770
312	4781	25772
313	4796	25755
314	4811	25736
315	4825	25714
316	4842	25710
317	4857	25692
318	4872	25674
319	4886	25655
320	4900	25634
321	4915	25616
322	4930	25599
323	4945	25581
324	4959	25559
325	4973	25540
326	4989	25528
327	5004	25509
328	5017	25486
329	5033	25471
330	5047	25451
331	5063	25439
332	5078	25424
333	5094	25411
334	5112	25408
335	5128	25400
336	5147	25399
337	5164	25396
338	5181	25389
339	5204	25410
340	5222	25408
341	5238	25395
342	5252	25373
343	5266	25352
344	5281	25336
345	5296	25319
346	5312	25304
347	5326	25285
348	5342	25271
349	5356	25251
350	5371	25235
351	5386	25217
352	5402	25206
353	5418	25193
354	5432	25173
355	5447	25156
356	5462	25140
357	5477	25123
358	5491	25103
359	5505	25082
360	5522	25074
361	5543	25085
362	5558	25066
363	5572	25046
364	5587	25029
365	5603	25017
366	5621	25015
367	5636	24997
368	5651	24979
369	5666	24963
370	5681	24944
371	5695	24924
372	5709	24902
373	5723	24885
374	5738	24868
375	5753	24848
376	5767	24830
377	5782	24814
378	5798	24799
379	5815	24790
380	5830	24774
381	5843	24752
382	5857	24731
383	5872	24711
384	5886	24693
385	5900	24670
386	5917	24664
387	5931	24644
388	5945	24623
389	5960	24606
390	5977	24597
391	5990	24574
392	6006	24558
393	6022	24549
394	6037	24531
395	6051	24513
396	6066	24496
397	6080	24476
398	6098	24469
399	6112	24449
400	6127	24435
401	6152	24457
402	6170	24451
403	6184	24433
404	6199	24414
405	6216	24406
406	6232	24394
407	6248	24381
408	6263	24364
409	6278	24348
410	6297	24348
411	6313	24332
412	6327	24313
413	6342	24298
414	6356	24276
415	6370	24255
416	6384	24237
417	6398	24217
418	6412	24197
419	6427	24178
